monthly_usage_hours,login_frequency,last_login_days,support_tickets,payment_failures,subscription_plan,renewed
17.72,12.52,5.24,2,1,growth,0
21.0,19.58,1.51,1,1,business,1
18.47,19.44,7.56,3,0,growth,1
30.1,20.92,9.53,4,1,business,0
16.6,14.62,11.52,5,2,starter,0
22.12,17.38,3.55,2,2,business,1
20.42,11.56,9.97,5,1,growth,0
21.86,23.1,4.1,2,0,business,1
25.5,17.02,6.59,4,0,growth,0
24.87,22.68,12.87,5,1,business,0
20.06,19.57,2.17,2,1,business,1
19.51,24.73,5.97,2,2,business,1
23.81,16.36,2.75,3,1,growth,0
22.82,16.71,12.45,5,2,growth,0
33.56,22.74,7.94,2,0,enterprise,1
19.9,23.96,5.63,1,0,business,1
21.41,21.3,12.71,5,1,growth,0
22.83,21.22,6.65,3,1,business,1
17.74,20.44,11.35,5,2,growth,0
21.65,20.21,6.18,3,1,business,1
16.26,18.25,7.89,2,1,growth,1
29.72,23.59,1.69,1,1,enterprise,1
13.25,18.44,4.7,3,1,growth,1
28.04,15.04,4.2,3,0,business,0
24.06,18.8,4.37,2,2,business,0
25.13,21.02,3.63,1,0,business,1
20.21,22.13,8.54,5,1,growth,1
17.17,18.18,5.09,2,1,growth,1
18.4,18.91,8.01,4,0,growth,1
28.37,14.74,6.58,2,1,business,0
11.45,16.16,15.03,5,1,starter,1
26.78,24.44,11.02,4,2,business,0
14.87,16.26,7.14,4,0,growth,1
19.27,17.27,9.56,4,2,growth,0
23.19,19.19,6.1,2,0,business,1
23.79,21.1,3.79,3,1,business,1
19.93,15.13,13.08,5,1,growth,0
22.17,24.66,4.94,3,0,business,1
17.9,15.54,6.35,5,2,growth,0
30.17,24.45,6.88,1,2,enterprise,1
22.55,17.13,7.74,2,0,business,1
25.58,21.0,4.98,3,1,business,1
30.96,16.63,5.43,1,2,business,0
26.59,20.55,10.43,3,1,business,0
23.64,11.34,8.4,3,2,growth,0
17.84,17.81,5.79,5,1,growth,1
20.64,19.47,3.63,3,0,growth,1
35.17,21.78,6.99,3,1,business,0
21.05,20.59,4.31,3,1,business,1
17.34,21.29,4.88,3,0,growth,1
22.26,21.14,4.84,2,0,business,1
18.73,25.37,7.34,2,0,business,1
24.57,16.7,14.19,6,2,growth,0
26.22,22.58,2.15,2,0,business,1
27.84,19.27,2.49,1,1,business,1
25.86,23.1,2.02,0,1,business,1
24.13,20.02,5.38,2,0,business,1
21.85,25.33,4.69,2,0,business,1
22.87,22.86,1.25,1,1,business,1
14.98,15.42,5.18,3,2,growth,1
24.49,23.94,5.53,1,0,business,1
26.37,16.64,6.42,2,2,business,0
26.9,22.74,6.79,1,2,business,1
23.53,15.3,2.73,1,0,business,1
24.58,15.55,3.92,3,1,growth,1
19.64,19.55,11.61,4,2,growth,0
13.43,16.22,5.34,2,1,growth,1
20.93,21.76,2.83,2,1,business,1
23.44,23.44,7.45,4,1,business,1
20.82,18.95,1.76,2,1,business,1
20.66,19.91,9.88,5,2,growth,0
29.76,18.39,10.32,4,1,business,0
26.48,27.99,12.44,6,2,business,0
12.67,17.9,16.95,7,2,starter,0
20.03,25.23,7.68,2,0,business,1
24.5,18.56,9.86,3,1,business,0
23.95,16.0,8.84,5,1,growth,0
27.2,31.06,7.1,3,1,business,1
14.55,18.4,8.67,2,0,growth,1
23.43,17.57,5.74,3,1,growth,0
24.69,19.44,5.05,2,0,business,1
19.68,17.41,5.16,2,0,growth,1
23.57,11.87,7.99,4,0,growth,0
21.5,18.24,2.05,1,1,business,1
27.61,18.54,4.35,1,0,business,1
25.11,21.98,7.75,2,0,business,1
18.64,25.77,1.92,1,0,business,1
28.27,17.69,6.92,4,1,business,0
34.68,22.66,12.57,6,2,business,0
18.5,14.04,4.14,1,1,growth,1
25.15,24.48,11.44,4,2,business,0
23.68,16.96,6.56,4,2,growth,0
22.37,21.95,12.64,5,1,growth,0
18.64,15.06,7.0,4,0,growth,1
21.88,18.26,4.09,2,1,business,1
25.34,17.07,3.13,1,1,business,1
22.41,18.47,8.97,4,1,growth,0
20.78,19.17,10.93,5,2,growth,0
20.36,17.39,10.87,4,3,growth,0
22.19,19.09,11.15,4,2,growth,0
22.67,20.39,4.83,3,2,business,0
26.96,23.85,0.59,3,1,business,1
20.73,18.33,9.93,5,3,growth,0
25.55,19.71,11.74,4,1,business,0
17.99,25.45,2.62,2,0,business,1
18.82,19.8,9.2,5,3,growth,0
23.73,24.93,3.75,2,0,business,1
19.95,16.74,5.14,2,0,growth,1
19.45,21.57,5.51,4,0,growth,1
14.86,13.03,8.86,3,1,growth,0
24.96,20.69,6.77,2,0,business,1
25.7,13.15,11.26,4,2,growth,0
23.89,15.68,5.84,3,0,growth,0
29.85,15.36,3.06,0,1,business,1
24.27,18.15,2.99,2,1,business,1
30.85,25.13,4.41,3,2,business,1
22.0,17.67,10.23,4,2,growth,0
22.32,15.93,1.68,2,1,growth,1
22.24,24.8,3.72,4,0,business,1
17.97,15.78,14.44,7,2,starter,0
26.07,29.24,6.97,2,0,business,1
16.74,23.91,9.55,4,1,growth,1
12.83,26.5,4.64,2,1,growth,1
17.44,16.44,3.31,1,1,growth,1
14.53,14.84,8.06,5,1,starter,1
20.54,11.98,8.4,4,1,growth,0
17.73,19.63,2.67,2,0,growth,1
16.72,22.1,2.56,0,1,business,1
24.44,16.14,2.82,1,1,business,1
25.28,14.08,15.15,5,2,growth,0
23.21,26.96,10.88,4,2,business,0
22.97,21.87,12.49,6,2,growth,0
29.99,20.43,1.12,0,0,enterprise,1
19.03,16.54,2.12,2,2,growth,1
25.83,25.43,12.43,5,2,business,0
23.42,20.45,5.13,2,0,business,1
17.92,23.01,5.6,3,1,growth,1
15.36,19.1,3.91,3,1,growth,1
22.56,16.73,5.29,3,1,growth,0
24.7,30.26,5.06,1,0,enterprise,1
16.95,17.23,5.77,2,1,growth,1
19.14,19.64,5.4,3,1,growth,1
26.75,15.22,2.56,2,1,business,1
25.51,14.25,7.46,4,0,growth,0
29.32,17.3,5.45,1,2,business,1
31.11,26.22,11.81,5,1,business,0
18.81,18.82,9.54,4,2,growth,0
19.03,17.63,5.99,5,1,growth,0
24.43,19.57,1.43,2,1,business,1
16.73,17.33,7.6,2,0,growth,1
31.02,25.25,9.1,3,1,business,0
20.54,18.45,9.18,4,3,growth,0
25.8,19.06,6.21,1,0,business,1
24.74,16.15,2.27,3,1,growth,1
29.06,17.5,6.09,2,1,business,0
28.43,21.6,7.76,3,1,business,0
25.52,23.56,8.5,6,3,growth,0
21.31,19.38,7.12,4,1,growth,1
22.75,18.85,5.52,4,1,growth,1
28.88,18.63,4.48,1,1,business,1
22.36,18.14,8.96,3,1,growth,0
21.82,22.77,7.97,3,0,business,1
26.42,14.37,9.33,3,1,growth,0
19.17,18.92,1.83,2,1,growth,1
31.96,15.08,5.54,2,0,business,0
33.9,22.55,3.06,1,0,enterprise,1
9.46,16.35,5.09,1,0,growth,1
18.47,22.23,5.33,3,0,growth,1
23.06,17.74,4.97,2,0,business,1
23.32,24.89,3.89,2,0,business,1
19.46,13.64,7.43,4,0,growth,1
21.54,13.35,0.98,2,1,growth,1
21.14,23.83,11.67,6,2,growth,0
14.51,14.77,7.0,4,1,starter,1
25.63,20.93,4.41,3,1,business,1
23.37,19.46,4.91,2,0,business,1
18.3,21.89,5.04,2,0,business,1
23.7,19.84,9.51,3,0,business,1
27.38,25.39,4.18,3,0,business,1
27.18,15.95,9.46,5,2,growth,0
22.64,17.16,3.62,2,1,business,1
27.63,19.94,10.67,4,2,business,0
25.48,17.15,4.86,3,1,business,1
31.74,25.83,5.59,1,0,enterprise,1
18.52,14.77,3.32,2,2,growth,0
18.08,23.26,3.3,2,0,business,1
19.69,17.66,2.79,2,1,growth,1
16.07,23.51,5.47,2,1,business,1
22.93,20.52,6.47,3,0,business,1
22.69,15.96,11.19,3,1,growth,0
24.13,16.18,1.61,1,0,business,1
24.11,18.52,4.96,2,1,business,1
22.95,19.53,1.87,2,0,business,1
16.91,18.42,4.01,2,1,growth,1
20.65,19.19,9.69,4,2,growth,0
20.35,19.11,3.34,0,1,business,1
20.96,15.68,5.28,1,1,business,1
29.49,20.96,6.48,2,0,business,1
21.95,19.45,2.33,1,1,business,1
21.76,22.56,2.81,2,1,business,1
21.6,18.24,10.15,4,1,growth,1
28.28,11.73,3.47,3,0,growth,0
13.98,21.09,19.18,8,3,starter,1
20.1,16.43,5.08,1,0,business,1
22.49,20.04,7.74,2,1,business,1
22.66,13.67,2.52,2,1,growth,1
21.99,23.01,8.69,3,0,business,1
23.11,14.64,2.83,1,2,business,1
23.64,11.59,7.81,3,0,growth,0
30.13,22.94,3.24,1,1,enterprise,1
22.53,15.9,7.59,2,0,growth,0
21.2,21.36,5.4,1,1,business,1
22.8,25.25,9.03,5,1,business,1
23.27,19.81,4.52,2,2,business,0
23.13,24.69,5.37,2,1,business,1
22.55,24.19,10.12,3,2,business,0
20.71,20.02,10.87,6,2,growth,0
27.11,16.61,11.03,5,1,growth,0
16.59,18.97,6.39,2,0,growth,1
19.85,20.05,6.84,3,1,growth,1
24.07,13.22,6.27,5,1,growth,0
24.62,20.08,7.73,2,1,business,1
26.87,22.63,4.51,2,0,business,1
28.31,16.64,7.0,3,0,business,1
15.91,18.19,2.81,2,2,growth,1
28.61,23.15,5.0,1,1,business,1
20.78,17.14,5.63,4,1,growth,1
18.69,16.27,2.45,2,2,growth,1
21.23,18.6,13.52,6,1,growth,0
16.14,19.34,5.95,2,1,growth,1
12.1,22.37,8.44,3,0,growth,1
22.55,18.57,6.13,3,0,growth,0
22.85,20.17,6.77,3,1,business,1
21.42,11.18,2.8,2,1,growth,1
21.0,14.39,6.18,3,1,growth,0
26.33,23.24,1.22,1,2,business,1
17.84,21.71,5.28,3,1,growth,1
22.89,29.11,4.46,3,0,business,1
22.85,16.19,1.97,3,1,growth,1
22.04,18.77,9.8,4,0,growth,1
25.69,16.72,9.59,4,3,growth,0
20.0,17.76,4.52,2,1,growth,1
20.72,15.85,1.57,3,0,growth,1
28.43,18.9,3.32,3,0,business,1
23.3,17.75,8.05,3,0,growth,0
24.56,21.83,11.21,6,2,growth,0
20.48,17.79,4.55,2,0,growth,1
19.69,22.2,4.48,3,1,business,1
24.24,21.17,4.8,3,2,business,1
20.24,20.45,4.46,1,1,business,1
21.8,21.19,14.65,6,2,growth,0
22.27,12.27,6.97,3,0,growth,0
24.45,18.91,3.73,2,1,business,1
24.63,22.69,3.32,0,0,business,1
17.34,21.95,4.8,2,0,business,1
21.93,15.84,4.62,3,1,growth,0
22.28,19.78,5.64,2,2,business,1
23.74,19.92,5.38,2,0,business,1
20.91,23.2,6.4,3,1,business,1
25.11,19.19,1.85,3,1,business,1
16.99,15.68,4.41,2,1,growth,1
19.87,26.11,11.85,6,1,growth,1
21.89,16.55,3.57,4,0,growth,1
20.74,18.53,6.16,4,0,growth,1
19.07,15.34,6.2,4,0,growth,1
17.55,15.22,7.5,4,1,growth,0
27.71,18.22,4.28,2,1,business,1
14.72,15.17,4.29,1,0,growth,1
15.44,18.83,3.31,4,0,growth,1
23.09,14.23,6.16,1,0,business,1
26.91,17.87,6.05,1,2,business,0
25.2,18.29,8.03,3,0,business,1
31.12,30.33,7.48,3,0,enterprise,1
21.3,18.7,7.55,3,1,growth,1
26.21,16.06,2.17,2,2,business,1
31.63,20.47,9.48,4,2,business,0
23.08,23.13,4.41,1,1,business,1
16.6,21.45,3.92,4,1,growth,1
13.84,21.44,6.01,2,1,growth,1
25.62,22.22,3.75,1,0,business,1
23.03,16.61,9.82,4,2,growth,0
22.57,17.84,9.47,3,1,growth,0
26.64,14.74,7.5,3,1,business,0
24.71,19.0,4.01,3,1,business,1
25.9,14.45,6.18,2,1,business,0
14.12,20.13,10.27,4,1,growth,1
32.66,23.98,3.51,0,0,enterprise,1
27.94,16.91,5.74,2,1,business,0
28.79,15.99,0.62,2,0,business,1
22.47,14.17,5.33,2,1,growth,1
18.32,13.84,7.98,4,0,growth,0
30.96,25.56,6.33,1,1,enterprise,1
22.08,16.03,4.99,1,2,business,0
24.09,23.41,4.42,2,2,business,1
24.1,21.89,4.82,4,0,business,1
19.61,19.2,10.27,5,2,growth,0
22.91,21.34,7.1,3,0,business,1
26.5,19.32,14.16,4,1,business,0
18.18,20.72,5.76,2,2,growth,1
30.02,20.37,3.19,1,0,business,1
20.01,19.29,1.84,1,0,business,1
26.8,19.93,5.1,1,1,business,1
25.87,15.89,4.68,2,2,business,0
26.15,17.89,5.97,2,1,business,1
14.98,14.64,8.48,3,0,growth,1
22.59,21.82,8.07,4,0,business,1
15.35,21.03,3.11,2,2,growth,1
24.28,20.26,4.9,2,0,business,1
23.17,22.19,8.76,5,1,growth,0
21.98,25.98,2.6,2,0,business,1
18.74,12.25,4.04,1,0,growth,1
17.94,17.56,10.59,5,2,growth,0
31.22,24.58,9.16,3,2,business,0
29.33,19.17,9.51,2,1,business,0
23.77,18.65,6.6,2,1,business,1
16.12,18.36,9.32,4,1,growth,1
13.7,20.37,7.46,2,0,growth,1
22.52,17.61,12.61,5,1,growth,0
24.27,28.99,3.04,0,1,enterprise,1
20.84,19.8,9.16,4,1,growth,1
20.08,20.46,6.2,3,0,growth,1
23.94,19.65,7.39,4,1,growth,0
20.87,19.92,4.58,2,1,business,1
19.01,18.96,7.06,2,0,growth,1
22.6,17.79,3.98,1,0,business,1
18.94,23.35,7.86,3,1,business,1
23.54,20.16,11.8,4,3,growth,0
20.79,21.47,3.84,0,1,business,1
22.8,18.97,0.0,2,1,business,1
23.48,19.49,2.05,1,2,business,1
25.46,16.35,3.57,2,0,business,1
19.93,20.21,6.44,2,1,business,1
26.2,19.66,4.05,4,2,business,0
19.62,21.14,5.04,4,1,growth,1
27.67,16.38,9.77,3,0,business,0
25.33,19.0,6.29,2,0,business,1
15.74,22.3,5.71,5,2,growth,1
19.91,15.45,11.57,6,2,growth,0
21.5,23.55,10.77,4,2,business,1
26.53,16.19,3.42,3,2,business,0
25.77,20.17,2.65,1,1,business,1
22.89,22.34,3.95,2,1,business,1
19.83,10.26,4.51,2,1,growth,0
28.28,21.22,8.66,2,1,business,0
27.61,16.34,10.85,4,1,business,0
25.16,18.97,8.2,1,1,business,0
25.1,25.0,15.09,6,1,business,0
20.53,16.95,5.81,2,1,growth,1
22.8,19.49,8.19,4,3,growth,0
20.2,18.03,6.13,4,0,growth,1
28.23,16.63,3.37,0,0,business,1
31.5,29.16,2.99,1,1,enterprise,1
20.18,14.63,8.77,3,0,growth,0
22.49,20.9,8.62,4,1,growth,0
20.58,15.08,6.35,3,1,growth,0
20.99,15.76,13.16,4,1,growth,0
20.88,17.49,5.32,2,2,growth,0
15.76,13.19,13.58,6,1,starter,0
30.36,21.48,19.09,8,2,growth,0
12.29,18.47,9.42,3,0,growth,1
22.33,17.78,6.26,3,1,growth,0
22.61,16.58,3.62,1,1,business,1
15.67,25.98,3.21,1,1,business,1
14.57,22.63,10.44,3,0,growth,1
21.2,23.79,1.43,3,1,business,1
21.66,19.53,7.03,4,0,growth,1
29.64,19.94,9.6,2,2,business,0
23.72,19.94,3.5,2,0,business,1
17.1,17.72,6.82,3,1,growth,1
19.84,20.32,1.11,0,0,business,1
23.83,24.06,4.31,2,1,business,1
19.63,21.38,6.14,3,0,growth,1
22.14,18.96,6.17,2,0,business,1
24.98,13.4,0.66,1,0,business,1
31.87,21.14,22.63,8,2,growth,0
25.26,23.14,12.61,4,1,business,0
23.74,23.9,8.15,3,3,business,1
28.31,21.09,3.25,1,1,business,1
26.46,19.39,6.17,4,0,business,1
26.0,21.12,15.13,6,1,growth,0
29.09,16.76,2.85,1,0,business,1
36.62,18.27,13.17,5,1,business,0
30.45,19.72,9.33,5,2,business,0
20.66,19.32,6.76,2,2,business,1
26.25,20.49,4.81,2,0,business,1
22.38,19.13,7.38,3,1,business,0
17.27,17.69,9.02,3,0,growth,1
21.8,16.56,5.77,3,1,growth,0
29.94,19.69,7.01,1,0,business,1
15.87,21.28,4.38,2,1,growth,1
31.92,20.42,5.77,3,0,business,1
18.8,13.3,8.29,5,1,growth,0
25.79,22.04,8.41,2,2,business,1
23.71,20.34,5.78,4,0,business,1
21.54,17.18,7.18,3,1,growth,0
20.02,14.91,4.25,3,1,growth,0
22.46,20.77,8.23,2,2,business,0
14.9,19.59,3.94,4,2,growth,1
27.88,19.6,11.32,4,1,business,0
28.63,18.29,8.18,4,0,business,1
34.93,17.43,7.32,2,1,business,0
19.97,21.11,6.67,3,1,growth,1
24.53,16.79,5.42,2,0,business,1
30.18,21.89,4.17,1,1,business,1
29.63,22.14,7.71,2,0,business,1
22.78,17.84,10.19,3,1,growth,1
19.53,19.39,5.67,2,2,growth,0
22.81,11.88,5.29,3,0,growth,0
26.63,21.18,2.75,1,0,business,1
11.95,18.5,7.33,3,1,growth,1
19.14,18.4,3.54,4,0,growth,1
13.99,19.21,6.05,3,0,growth,1
16.31,23.18,15.85,6,2,growth,1
16.67,17.25,4.62,2,0,growth,1
17.11,19.28,4.37,2,1,growth,1
15.45,16.91,4.91,4,1,growth,1
30.2,26.91,6.99,2,0,enterprise,1
25.7,21.54,7.21,3,1,business,1
16.79,13.78,10.77,4,2,growth,0
15.32,13.31,8.4,3,0,growth,1
29.96,18.16,4.53,1,1,business,1
20.13,14.19,6.83,3,0,growth,1
19.06,19.75,6.07,2,0,growth,1
16.88,20.09,10.1,5,2,growth,0
21.46,27.89,5.7,2,1,business,1
26.98,19.69,9.07,3,1,business,1
22.84,22.0,4.32,1,1,business,1
23.41,22.09,7.4,1,0,business,1
22.99,16.62,3.42,1,2,business,0
19.44,14.04,3.8,2,1,growth,1
22.56,22.67,13.44,5,1,growth,0
30.41,19.87,4.66,2,1,business,0
32.75,18.55,6.19,2,0,business,1
27.89,19.87,4.03,1,1,business,1
29.99,25.3,6.22,4,0,business,1
24.36,22.26,10.27,5,2,growth,0
17.76,19.47,5.56,3,1,growth,1
30.09,15.07,1.91,2,1,business,1
19.57,17.63,5.87,2,1,growth,1
24.59,21.11,7.53,3,1,business,1
25.51,18.43,11.12,4,1,business,0
24.39,18.56,4.13,1,0,business,1
17.08,17.86,11.85,5,2,growth,0
30.67,22.66,1.83,2,0,business,1
28.28,16.04,11.01,5,1,growth,0
17.22,22.47,4.04,3,0,growth,1
23.97,17.8,0.49,2,1,business,1
19.51,14.17,2.06,1,1,growth,1
25.86,17.87,8.52,3,1,business,0
19.66,22.19,6.94,3,1,business,1
26.51,20.06,6.79,4,2,business,0
26.29,19.88,15.42,5,1,growth,0
16.48,28.48,5.94,2,1,business,1
20.9,19.75,3.08,1,1,business,1
30.11,16.83,2.92,1,2,business,1
14.25,15.36,3.6,2,2,growth,1
18.88,16.54,7.04,3,0,growth,1
18.26,17.84,7.59,3,0,growth,1
16.56,23.79,4.87,2,1,business,1
26.93,16.16,3.28,1,1,business,1
26.12,20.97,5.79,1,1,business,1
28.94,20.73,8.95,4,2,business,0
18.02,19.39,7.16,2,1,growth,1
17.73,25.38,3.99,1,0,business,1
26.85,13.18,10.74,4,1,growth,0
23.98,16.68,6.71,4,2,growth,0
21.64,16.66,3.97,2,0,growth,1
25.74,18.81,9.36,4,1,business,0
27.33,25.99,6.51,2,2,business,1
21.38,21.08,14.11,6,2,growth,0
19.57,25.92,0.88,1,0,business,1
20.35,16.74,9.26,3,1,growth,1
17.99,20.03,2.32,2,0,growth,1
15.08,17.01,7.68,2,0,growth,1
28.39,18.29,5.7,2,0,business,1
33.22,17.3,5.01,1,1,business,0
14.79,21.39,12.09,5,1,growth,1
23.06,20.15,6.64,3,0,business,1
27.12,22.86,7.77,2,0,business,1
20.0,16.6,6.58,3,1,growth,0
22.73,15.8,6.6,3,1,growth,0
27.4,21.63,4.01,1,2,business,1
31.92,23.06,8.5,2,1,business,1
18.28,18.83,1.95,2,1,growth,1
18.74,15.74,11.94,5,3,growth,0
24.04,24.45,5.2,3,0,business,1
24.06,19.84,5.0,3,0,business,1
20.97,16.42,6.82,3,1,growth,1
21.48,22.18,3.77,1,1,business,1
24.71,19.06,3.17,3,0,business,1
18.65,12.68,2.85,3,1,growth,1
19.87,15.57,4.06,1,0,growth,1
31.27,20.74,11.07,3,2,business,0
20.25,12.96,4.82,3,0,growth,0
18.36,16.93,10.19,5,2,growth,0
19.62,24.94,5.07,1,1,business,1
23.76,15.34,9.81,4,1,growth,0
22.39,20.81,5.41,3,1,business,1
21.33,15.1,4.27,3,0,growth,1
19.95,22.16,5.1,2,0,business,1
22.54,18.28,13.79,5,1,growth,0
27.92,22.52,10.32,4,1,business,1
20.44,18.13,17.69,7,2,growth,0
11.23,24.31,5.88,3,1,growth,1
20.08,17.85,6.46,2,0,growth,1
22.93,15.28,3.62,2,0,growth,1
26.12,20.14,3.69,2,0,business,1
23.1,23.6,2.43,2,1,business,1
17.2,17.17,2.27,2,2,growth,1
16.21,18.89,3.75,1,0,growth,1
20.02,19.77,5.5,3,1,growth,1
22.13,22.57,6.16,1,1,business,1
21.81,15.94,11.02,5,2,growth,0
24.72,17.2,6.74,2,0,business,1
29.7,23.8,8.9,4,1,business,0
18.46,20.6,5.53,4,1,growth,1
19.87,17.52,6.92,4,0,growth,1
24.23,17.55,10.97,5,2,growth,0
12.18,16.61,8.85,3,1,growth,1
21.49,17.67,8.61,3,0,growth,1
27.68,21.5,5.44,2,0,business,1
27.73,20.92,4.4,3,1,business,1
30.27,22.74,7.1,4,1,business,1
21.01,20.02,5.84,3,0,growth,1
18.95,21.51,4.0,3,0,growth,1
24.16,16.39,6.41,4,1,growth,0
24.55,20.73,4.08,0,0,business,1
19.82,22.34,17.25,6,2,growth,0
20.48,17.46,4.08,2,1,growth,1
24.89,22.26,8.73,1,1,business,1
18.87,16.78,8.56,4,1,growth,0
20.95,18.66,7.39,3,0,growth,1
23.96,16.01,5.13,2,0,business,1
33.99,21.57,9.96,3,1,business,0
22.48,25.17,0.77,1,1,business,1
28.5,19.13,11.84,5,2,business,0
27.14,16.58,7.21,4,0,business,0
28.98,16.74,8.06,4,0,business,1
26.32,21.99,5.32,2,1,business,1
15.21,16.91,10.13,6,1,starter,0
19.53,17.59,6.11,5,1,growth,0
23.27,19.25,3.19,2,0,business,1
26.13,13.52,5.05,2,1,business,0
15.36,17.39,3.98,2,2,growth,1
28.72,21.81,14.74,6,2,business,0
22.17,22.5,5.52,3,1,business,1
26.46,24.35,7.62,1,0,business,1
16.54,17.23,7.73,3,0,growth,1
23.66,16.44,5.64,2,0,business,1
26.19,20.98,6.05,3,1,business,1
22.56,19.81,10.13,3,1,business,0
25.54,21.09,3.86,1,0,business,1
20.77,18.0,10.17,4,3,growth,0
12.68,17.91,8.96,4,1,growth,1
22.29,17.83,6.05,3,0,growth,1
25.44,26.71,9.01,3,1,business,1
19.25,17.55,5.31,2,1,growth,1
31.0,25.37,9.46,2,0,enterprise,1
27.33,20.29,7.49,3,1,business,0
24.51,19.19,4.8,2,0,business,1
22.57,18.4,8.03,4,1,growth,1
22.43,16.28,6.09,4,0,growth,1
34.42,22.17,1.7,0,1,enterprise,1
29.17,19.4,5.31,0,1,business,1
27.52,16.12,2.18,3,1,business,1
30.34,29.67,8.16,3,1,enterprise,1
22.21,16.66,10.14,4,2,growth,0
20.51,20.49,5.11,3,1,growth,1
24.41,16.88,7.69,3,2,business,0
23.05,20.28,11.96,7,1,growth,0
25.28,19.51,2.38,2,0,business,1
17.22,18.96,5.69,4,1,growth,0
21.88,16.38,7.59,3,1,growth,0
24.33,19.52,1.66,0,1,business,1
22.56,16.62,5.57,4,0,growth,1
24.57,19.95,17.06,6,3,growth,0
24.94,18.48,7.46,5,0,growth,1
16.92,21.18,3.3,4,1,growth,1
28.54,20.59,7.39,2,0,business,1
16.61,19.07,9.61,6,1,growth,1
28.61,26.73,6.76,1,1,enterprise,1
24.34,16.44,9.62,5,3,growth,0
26.6,18.0,7.55,4,1,business,0
16.56,18.29,7.59,3,1,growth,1
19.05,16.14,9.23,4,2,growth,0
31.93,18.75,0.0,2,0,business,1
19.73,16.23,9.02,4,1,growth,0
33.85,17.99,4.29,3,0,business,1
24.55,17.69,5.3,2,2,business,0
24.95,17.17,4.38,2,2,business,1
24.12,17.89,5.13,2,0,business,1
19.67,23.44,3.38,4,1,growth,1
27.48,22.97,7.01,3,1,business,1
24.81,28.76,6.14,2,1,business,1
30.74,19.49,6.42,2,1,business,0
25.33,20.74,4.79,2,0,business,1
27.93,18.18,4.32,2,0,business,1
27.91,14.51,5.18,3,2,business,0
25.53,15.03,2.73,1,1,business,1
20.81,14.55,2.62,2,0,growth,1
24.95,22.14,5.79,1,2,business,1
